seed,d1,d2,d3,d4,d5,d8
0,3.591000e-02,1.260000e-03,1.000000e-04,0.000000e+00,0.000000e+00,0.000000e+00
1,3.476000e-02,1.350000e-03,2.000000e-04,6.000000e-05,0.000000e+00,0.000000e+00
2,4.346000e-02,1.710000e-03,1.200000e-04,0.000000e+00,0.000000e+00,0.000000e+00
3,3.593000e-02,1.060000e-03,1.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
4,4.047000e-02,2.160000e-03,3.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
5,3.752000e-02,2.000000e-03,1.100000e-04,0.000000e+00,0.000000e+00,0.000000e+00
6,3.574000e-02,1.330000e-03,7.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
7,3.588000e-02,9.900000e-04,3.800000e-04,1.000000e-05,0.000000e+00,0.000000e+00
8,4.138000e-02,1.420000e-03,1.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
9,3.915000e-02,1.410000e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
10,3.610000e-02,2.790000e-03,2.000000e-05,1.000000e-05,0.000000e+00,0.000000e+00
11,3.647000e-02,1.230000e-03,3.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
12,3.493000e-02,1.270000e-03,1.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
13,3.610000e-02,1.200000e-03,3.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
14,3.850000e-02,1.050000e-03,1.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
15,4.447000e-02,1.370000e-03,1.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
16,3.624000e-02,1.390000e-03,2.400000e-04,0.000000e+00,0.000000e+00,0.000000e+00
17,3.936000e-02,1.150000e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
18,3.604000e-02,1.000000e-03,2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
19,3.599000e-02,1.280000e-03,1.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
20,3.571000e-02,1.030000e-03,5.000000e-05,4.000000e-05,0.000000e+00,0.000000e+00
21,3.504000e-02,1.330000e-03,7.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
22,3.565000e-02,9.000000e-04,5.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
23,3.589000e-02,1.240000e-03,9.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
24,3.569000e-02,1.320000e-03,8.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
25,3.770000e-02,4.590000e-03,3.000000e-04,1.000000e-05,0.000000e+00,0.000000e+00
26,3.482000e-02,1.720000e-03,3.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
27,3.510000e-02,1.280000e-03,2.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
28,3.638000e-02,9.500000e-04,4.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
29,3.598000e-02,2.170000e-03,8.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
30,4.197000e-02,2.230000e-03,6.000000e-05,3.000000e-05,0.000000e+00,0.000000e+00
31,3.989000e-02,1.320000e-03,1.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
32,6.804000e-02,2.230000e-03,7.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
33,3.490000e-02,1.050000e-03,1.000000e-04,0.000000e+00,0.000000e+00,0.000000e+00
34,3.492000e-02,9.400000e-04,4.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
35,3.592000e-02,1.250000e-03,1.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
36,3.586000e-02,1.120000e-03,9.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
37,3.510000e-02,1.140000e-03,6.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
38,6.677000e-02,2.060000e-03,4.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
39,3.593000e-02,1.110000e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
40,3.664000e-02,1.120000e-03,3.000000e-05,2.000000e-05,0.000000e+00,0.000000e+00
41,4.005000e-02,1.320000e-03,3.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
42,3.581000e-02,1.280000e-03,1.500000e-04,0.000000e+00,0.000000e+00,0.000000e+00
43,4.833000e-02,1.490000e-03,2.000000e-04,0.000000e+00,0.000000e+00,0.000000e+00
44,3.503000e-02,1.090000e-03,2.300000e-04,0.000000e+00,0.000000e+00,0.000000e+00
45,3.996000e-02,1.400000e-03,4.000000e-04,0.000000e+00,0.000000e+00,0.000000e+00
46,3.578000e-02,1.390000e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
47,3.752000e-02,1.260000e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
48,3.600000e-02,1.090000e-03,3.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
49,4.600000e-02,1.470000e-03,1.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
50,4.022000e-02,1.150000e-03,3.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
51,3.591000e-02,1.230000e-03,1.300000e-04,0.000000e+00,0.000000e+00,0.000000e+00
52,3.511000e-02,1.490000e-03,1.300000e-04,0.000000e+00,0.000000e+00,0.000000e+00
53,3.578000e-02,1.470000e-03,2.000000e-05,1.000000e-05,0.000000e+00,0.000000e+00
54,3.576000e-02,1.150000e-03,7.000000e-05,0.000000e+00,0.000000e+00,0.000000e+00
