n,seed,est,signed_rel_pct,abs_rel_pct
1000,1,1007.342,0.7342,0.7342
1000,2,1000.963,0.0963,0.0963
1000,3,1002.026,0.2026,0.2026
1000,4,997.774,-0.2226,0.2226
1000,5,1008.406,0.8406,0.8406
1000,7,998.837,-0.1163,0.1163
1000,11,985.026,-1.4974,1.4974
1000,13,992.461,-0.7539,0.7539
1000,17,1003.089,0.3089,0.3089
1000,19,997.774,-0.2226,0.2226
1000,23,999.900,-0.0100,0.0100
1000,29,1005.216,0.5216,0.5216
1000,31,994.586,-0.5414,0.5414
1000,37,999.900,-0.0100,0.0100
1000,41,1004.152,0.4152,0.4152
1000,43,1006.279,0.6279,0.6279
1000,47,999.900,-0.0100,0.0100
1000,53,998.837,-0.1163,0.1163
1000,59,1004.152,0.4152,0.4152
1000,61,998.837,-0.1163,0.1163
5000,1,5013.447,0.2689,0.2689
5000,2,5037.909,0.7582,0.7582
5000,3,4993.090,-0.1382,0.1382
5000,4,5001.230,0.0246,0.0246
5000,5,5016.164,0.3233,0.3233
5000,7,5021.597,0.4319,0.4319
5000,11,4971.404,-0.5719,0.5719
5000,13,4961.925,-0.7615,0.7615
5000,17,4994.447,-0.1111,0.1111
5000,19,4990.378,-0.1924,0.1924
5000,23,4994.447,-0.1111,0.1111
5000,29,4957.865,-0.8427,0.8427
5000,31,4971.404,-0.5719,0.5719
5000,37,5013.447,0.2689,0.2689
5000,41,5016.164,0.3233,0.3233
5000,43,5017.522,0.3504,0.3504
5000,47,4989.022,-0.2196,0.2196
5000,53,5041.990,0.8398,0.8398
5000,59,5005.302,0.1060,0.1060
5000,61,5041.990,0.8398,0.8398
10000,1,9948.772,-0.5123,0.5123
10000,2,10112.936,1.1294,1.1294
10000,3,10046.334,0.4633,0.4633
10000,4,10096.260,0.9626,0.9626
10000,5,10013.135,0.1313,0.1313
10000,7,10124.063,1.2406,1.2406
10000,11,9937.764,-0.6224,0.6224
10000,13,9998.401,-0.0160,0.0160
10000,17,10053.721,0.5372,0.5372
10000,19,10013.135,0.1313,0.1313
10000,23,10037.106,0.3711,0.3711
10000,29,10044.488,0.4449,0.4449
10000,31,10005.766,0.0577,0.0577
10000,37,10077.752,0.7775,0.7775
10000,41,9965.298,-0.3470,0.3470
10000,43,10016.820,0.1682,0.1682
10000,47,10024.194,0.2419,0.2419
10000,53,10099.965,0.9996,0.9996
10000,59,9956.115,-0.4388,0.4388
10000,61,9968.973,-0.3103,0.3103
50000,1,49436.086,-1.1278,1.1278
50000,2,50801.723,1.6034,1.6034
50000,3,51116.063,2.2321,2.2321
50000,4,51174.098,2.3482,2.3482
50000,5,50271.991,0.5440,0.5440
50000,7,50416.374,0.8327,0.8327
50000,11,50013.425,0.0269,0.0269
50000,13,50714.572,1.4291,1.4291
50000,17,50773.239,1.5465,1.5465
50000,19,50417.276,0.8346,0.8346
50000,23,50262.977,0.5260,0.5260
50000,29,50326.530,0.6531,0.6531
50000,31,50970.169,1.9403,1.9403
50000,37,50445.773,0.8915,0.8915
50000,41,50258.185,0.5164,0.5164
50000,43,50229.341,0.4587,0.4587
50000,47,49829.923,-0.3402,0.3402
50000,53,50131.793,0.2636,0.2636
50000,59,50443.973,0.8879,0.8879
50000,61,50251.828,0.5037,0.5037
100000,1,98389.377,-1.6106,1.6106
100000,2,99466.095,-0.5339,0.5339
100000,3,101344.198,1.3442,1.3442
100000,4,102389.652,2.3897,2.3897
100000,5,99915.211,-0.0848,0.0848
