seed,rf_train_err,rf_test_err,dt_train_err,dt_test_err
0,0.000000,0.022222,0.000000,0.157407
1,0.000000,0.031481,0.000000,0.142593
2,0.000000,0.033333,0.000000,0.159259
3,0.000000,0.024074,0.000000,0.162963
4,0.000000,0.031481,0.000000,0.153704
5,0.000000,0.025926,0.000000,0.162963
6,0.000000,0.020370,0.000000,0.150000
7,0.000000,0.024074,0.000000,0.172222
8,0.000000,0.014815,0.000000,0.164815
9,0.000000,0.024074,0.000000,0.159259
10,0.000000,0.025926,0.000000,0.166667
11,0.000000,0.020370,0.000000,0.185185
12,0.000000,0.012963,0.000000,0.161111
13,0.000000,0.025926,0.000000,0.162963
14,0.000000,0.027778,0.000000,0.155556
15,0.000000,0.031481,0.000000,0.148148
16,0.000000,0.037037,0.000000,0.146296
17,0.000000,0.024074,0.000000,0.170370
18,0.000000,0.025926,0.000000,0.164815
19,0.000000,0.025926,0.000000,0.142593
