# T,precision,recall,f1
0,1.000000,0.000000,0.000000
1,1.000000,0.000000,0.000000
2,1.000000,0.000000,0.000000
3,1.000000,0.000000,0.000000
4,1.000000,0.000000,0.000000
5,1.000000,0.000000,0.000000
6,1.000000,0.000000,0.000000
7,1.000000,0.000000,0.000000
8,1.000000,0.000000,0.000000
9,1.000000,0.000000,0.000000
10,1.000000,0.000000,0.000000
11,1.000000,0.013333,0.026316
12,1.000000,0.020000,0.039216
13,1.000000,0.040000,0.076923
14,1.000000,0.080000,0.148148
15,1.000000,0.113333,0.203593
16,1.000000,0.146667,0.255814
17,1.000000,0.180000,0.305085
18,1.000000,0.200000,0.333333
19,1.000000,0.266667,0.421053
20,1.000000,0.293333,0.453608
21,1.000000,0.340000,0.507463
22,1.000000,0.413333,0.584906
23,1.000000,0.433333,0.604651
24,1.000000,0.440000,0.611111
25,1.000000,0.513333,0.678414
26,1.000000,0.580000,0.734177
27,1.000000,0.606667,0.755187
28,1.000000,0.646667,0.785425
29,1.000000,0.700000,0.823529
30,1.000000,0.760000,0.863636
31,1.000000,0.800000,0.888889
32,1.000000,0.820000,0.901099
33,1.000000,0.840000,0.913043
34,1.000000,0.853333,0.920863
35,1.000000,0.860000,0.924731
36,1.000000,0.880000,0.936170
37,1.000000,0.913333,0.954704
38,1.000000,0.926667,0.961938
39,1.000000,0.940000,0.969072
40,1.000000,0.953333,0.976109
41,1.000000,0.960000,0.979592
42,1.000000,0.966667,0.983051
43,1.000000,0.966667,0.983051
44,1.000000,0.986667,0.993289
45,1.000000,0.993333,0.996656
46,1.000000,1.000000,1.000000
47,1.000000,1.000000,1.000000
48,1.000000,1.000000,1.000000
49,1.000000,1.000000,1.000000
50,1.000000,1.000000,1.000000
51,1.000000,1.000000,1.000000
52,1.000000,1.000000,1.000000
53,1.000000,1.000000,1.000000
54,1.000000,1.000000,1.000000
55,1.000000,1.000000,1.000000
56,1.000000,1.000000,1.000000
57,1.000000,1.000000,1.000000
58,1.000000,1.000000,1.000000
59,1.000000,1.000000,1.000000
60,1.000000,1.000000,1.000000
61,1.000000,1.000000,1.000000
62,1.000000,1.000000,1.000000
63,1.000000,1.000000,1.000000
64,1.000000,1.000000,1.000000
65,1.000000,1.000000,1.000000
66,1.000000,1.000000,1.000000
67,1.000000,1.000000,1.000000
68,1.000000,1.000000,1.000000
69,1.000000,1.000000,1.000000
70,1.000000,1.000000,1.000000
71,1.000000,1.000000,1.000000
72,1.000000,1.000000,1.000000
73,1.000000,1.000000,1.000000
74,1.000000,1.000000,1.000000
75,1.000000,1.000000,1.000000
76,1.000000,1.000000,1.000000
77,1.000000,1.000000,1.000000
78,1.000000,1.000000,1.000000
79,0.986842,1.000000,0.993377
80,0.986842,1.000000,0.993377
81,0.974026,1.000000,0.986842
82,0.967742,1.000000,0.983607
83,0.949367,1.000000,0.974026
84,0.925926,1.000000,0.961538
85,0.914634,1.000000,0.955414
86,0.892857,1.000000,0.943396
