Branch-coverage saturation:
function                   seed  paths/total  branch_cov
get_sign                     42      1/3          50.00%
get_sign                     42      2/3          75.00%
get_sign                     42      3/3         100.00%
get_sign                    123      1/3          50.00%
get_sign                    123      2/3          75.00%
get_sign                    123      3/3         100.00%
get_sign                      7      1/3          50.00%
get_sign                      7      2/3          75.00%
get_sign                      7      3/3         100.00%
classify_triangle            42      1/5          50.00%
classify_triangle            42      2/5          62.50%
classify_triangle            42      3/5          75.00%
classify_triangle            42      4/5          87.50%
classify_triangle            42      5/5         100.00%
classify_triangle           123      1/5          50.00%
classify_triangle           123      2/5          62.50%
classify_triangle           123      3/5          75.00%
classify_triangle           123      4/5          87.50%
classify_triangle           123      5/5         100.00%
classify_triangle             7      1/5          50.00%
classify_triangle             7      2/5          62.50%
classify_triangle             7      3/5          75.00%
classify_triangle             7      4/5          87.50%
classify_triangle             7      5/5         100.00%
k_independent_ifs_k4         42      1/16         50.00%
k_independent_ifs_k4         42      2/16         87.50%
k_independent_ifs_k4         42      3/16         87.50%
k_independent_ifs_k4         42      4/16        100.00%
k_independent_ifs_k4         42      5/16        100.00%
k_independent_ifs_k4         42      6/16        100.00%
k_independent_ifs_k4         42      7/16        100.00%
k_independent_ifs_k4         42      8/16        100.00%
k_independent_ifs_k4         42      9/16        100.00%
k_independent_ifs_k4         42     10/16        100.00%
k_independent_ifs_k4         42     11/16        100.00%
k_independent_ifs_k4         42     12/16        100.00%
k_independent_ifs_k4         42     13/16        100.00%
k_independent_ifs_k4         42     14/16        100.00%
k_independent_ifs_k4         42     15/16        100.00%
k_independent_ifs_k4         42     16/16        100.00%
k_independent_ifs_k4        123      1/16         50.00%
k_independent_ifs_k4        123      2/16         75.00%
k_independent_ifs_k4        123      3/16         87.50%
k_independent_ifs_k4        123      4/16        100.00%
k_independent_ifs_k4        123      5/16        100.00%
k_independent_ifs_k4        123      6/16        100.00%
k_independent_ifs_k4        123      7/16        100.00%
k_independent_ifs_k4        123      8/16        100.00%
k_independent_ifs_k4        123      9/16        100.00%
k_independent_ifs_k4        123     10/16        100.00%
k_independent_ifs_k4        123     11/16        100.00%
k_independent_ifs_k4        123     12/16        100.00%
k_independent_ifs_k4        123     13/16        100.00%
k_independent_ifs_k4        123     14/16        100.00%
k_independent_ifs_k4        123     15/16        100.00%
k_independent_ifs_k4        123     16/16        100.00%
k_independent_ifs_k4          7      1/16         50.00%
k_independent_ifs_k4          7      2/16         87.50%
k_independent_ifs_k4          7      3/16         87.50%
k_independent_ifs_k4          7      4/16        100.00%
k_independent_ifs_k4          7      5/16        100.00%
k_independent_ifs_k4          7      6/16        100.00%
k_independent_ifs_k4          7      7/16        100.00%
k_independent_ifs_k4          7      8/16        100.00%
k_independent_ifs_k4          7      9/16        100.00%
k_independent_ifs_k4          7     10/16        100.00%
k_independent_ifs_k4          7     11/16        100.00%
k_independent_ifs_k4          7     12/16        100.00%
k_independent_ifs_k4          7     13/16        100.00%
k_independent_ifs_k4          7     14/16        100.00%
k_independent_ifs_k4          7     15/16        100.00%
k_independent_ifs_k4          7     16/16        100.00%
k_independent_ifs_k5         42      1/32         50.00%
k_independent_ifs_k5         42      2/32        100.00%
k_independent_ifs_k5         42      3/32        100.00%
k_independent_ifs_k5         42      4/32        100.00%
k_independent_ifs_k5         42      5/32        100.00%
k_independent_ifs_k5         42      6/32        100.00%
k_independent_ifs_k5         42      7/32        100.00%
k_independent_ifs_k5         42      8/32        100.00%
k_independent_ifs_k5         42      9/32        100.00%
k_independent_ifs_k5         42     10/32        100.00%
k_independent_ifs_k5         42     11/32        100.00%
