n,m,seed,dpll_status,dpll_time,dpll_decisions,dpll_propagations,dpll_conflicts,dpll_max_depth,cdcl_status,cdcl_time,cdcl_decisions,cdcl_propagations,cdcl_conflicts,cdcl_restarts
15,63,1,sat,0.00029277801513671875,8,25,3,4,sat,8.249282836914062e-05,12,31,2,1
15,63,2,unsat,0.001161336898803711,48,183,25,6,unsat,5.364418029785156e-05,7,39,6,1
15,63,3,sat,0.0004048347473144531,15,52,6,6,sat,3.647804260253906e-05,6,16,0,1
15,63,4,sat,0.0003387928009033203,10,34,4,4,sat,4.00543212890625e-05,7,30,3,1
15,63,5,sat,0.0002918243408203125,8,30,2,5,sat,3.3855438232421875e-05,9,22,2,1
20,84,1,sat,0.0006663799285888672,20,71,7,10,sat,4.458427429199219e-05,13,48,4,1
20,84,2,unsat,0.0017957687377929688,58,246,30,7,unsat,5.841255187988281e-05,20,129,18,1
20,84,3,sat,0.0010917186737060547,31,116,14,7,sat,4.839897155761719e-05,13,41,4,1
20,84,4,unsat,0.0023145675659179688,74,335,38,8,unsat,5.1975250244140625e-05,15,98,13,1
20,84,5,sat,0.0012240409851074219,37,137,17,8,sat,4.172325134277344e-05,11,42,4,1
25,105,1,sat,0.001680135726928711,41,173,18,8,sat,6.0558319091796875e-05,20,129,12,1
25,105,2,unsat,0.0021820068359375,46,268,24,8,unsat,7.43865966796875e-05,30,216,28,1
25,105,3,sat,0.002478361129760742,48,283,22,8,sat,6.246566772460938e-05,26,117,13,1
25,105,4,sat,0.001550912857055664,37,175,17,9,sat,5.650520324707031e-05,17,108,11,1
25,105,5,unsat,0.0043337345123291016,128,567,65,10,unsat,6.413459777832031e-05,19,139,19,1
