n,m,seed,dpll_status,dpll_time,dpll_decisions,dpll_propagations,dpll_conflicts,dpll_max_depth,cdcl_status,cdcl_time,cdcl_decisions,cdcl_propagations,cdcl_conflicts,cdcl_restarts
15,63,1,sat,0.0003075599670410156,8,25,3,4,sat,7.748603820800781e-05,12,31,2,1
15,63,2,unsat,0.0011487007141113281,48,183,25,6,unsat,5.14984130859375e-05,7,39,6,1
15,63,3,sat,0.000385284423828125,15,52,6,6,sat,3.409385681152344e-05,6,16,0,1
15,63,4,sat,0.0003292560577392578,10,34,4,4,sat,3.790855407714844e-05,7,30,3,1
15,63,5,sat,0.00028324127197265625,8,30,2,5,sat,3.24249267578125e-05,9,22,2,1
20,84,1,sat,0.0006804466247558594,20,71,7,10,sat,4.601478576660156e-05,13,48,4,1
20,84,2,unsat,0.0018248558044433594,58,246,30,7,unsat,6.508827209472656e-05,20,129,18,1
20,84,3,sat,0.0010769367218017578,31,116,14,7,sat,4.7206878662109375e-05,13,41,4,1
20,84,4,unsat,0.0023696422576904297,74,335,38,8,unsat,5.412101745605469e-05,15,98,13,1
20,84,5,sat,0.0012054443359375,37,137,17,8,sat,4.2438507080078125e-05,11,42,4,1
25,105,1,sat,0.0016977787017822266,41,173,18,8,sat,6.031990051269531e-05,20,129,12,1
25,105,2,unsat,0.002156496047973633,46,268,24,8,unsat,7.319450378417969e-05,30,216,28,1
25,105,3,sat,0.002298593521118164,48,283,22,8,sat,6.437301635742188e-05,26,117,13,1
25,105,4,sat,0.0015184879302978516,37,175,17,9,sat,5.555152893066406e-05,17,108,11,1
25,105,5,unsat,0.004216909408569336,128,567,65,10,unsat,6.651878356933594e-05,19,139,19,1
30,126,1,sat,0.0007579326629638672,14,62,4,9,sat,6.151199340820312e-05,13,59,4,1
30,126,2,sat,0.0014772415161132812,25,177,11,8,sat,5.078315734863281e-05,7,33,1,1
30,126,3,sat,0.009502410888671875,193,1045,94,12,sat,6.127357482910156e-05,11,73,5,1
30,126,4,sat,0.002652883529663086,51,272,22,12,sat,5.0067901611328125e-05,11,31,0,1
30,126,5,sat,0.0007355213165283203,9,45,1,8,sat,5.8650970458984375e-05,18,92,7,1
40,168,1,sat,0.0014922618865966797,18,62,4,14,sat,8.654594421386719e-05,28,199,13,1
40,168,2,sat,0.01038980484008789,164,1009,77,17,sat,0.00011229515075683594,43,373,27,1
40,168,3,unsat,0.01831531524658203,248,2045,125,12,unsat,0.00011706352233886719,36,422,31,1
40,168,4,sat,0.003050088882446289,39,260,16,13,sat,0.00012159347534179688,45,476,30,1
40,168,5,unsat,0.01783299446105957,236,1903,119,11,unsat,0.00016164779663085938,61,632,50,1
50,210,1,sat,0.010071992874145508,126,806,56,17,sat,8.702278137207031e-05,26,111,7,1
50,210,2,sat,0.024828433990478516,275,2276,133,18,sat,0.00013494491577148438,54,421,37,1
50,210,3,sat,0.027551889419555664,297,2498,142,19,sat,0.00010013580322265625,28,161,9,1
50,210,4,sat,0.0466313362121582,528,4194,262,13,sat,0.0001354217529296875,45,406,29,1
50,210,5,unsat,0.06186985969543457,620,5204,311,15,unsat,0.000152587890625,48,616,42,1
75,315,1,sat,0.3178434371948242,1951,20925,971,22,sat,0.00041031837463378906,158,2191,121,2
75,315,2,unsat,1.7639787197113037,12570,122683,6286,26,unsat,0.0007207393646240234,253,4293,219,3
75,315,3,sat,0.5280845165252686,3536,35227,1764,23,sat,0.0005385875701904297,196,3057,161,2
75,315,4,sat,0.21386194229125977,1408,13910,695,28,sat,0.00015473365783691406,38,240,11,1
75,315,5,sat,1.683192253112793,11468,121822,5729,21,sat,0.00034117698669433594,112,1557,81,1
100,420,1,timeout,60.00010347366333,289768,3678327,144880,34,unsat,0.0015816688537597656,564,11362,479,4
100,420,2,sat,0.8570170402526855,3638,47577,1814,29,sat,0.0004031658172607422,97,1947,74,1
100,420,3,unsat,36.2888605594635,190122,2181224,95062,38,unsat,0.0018000602722167969,669,13136,549,5
100,420,4,sat,15.736108541488647,74367,933648,37174,34,sat,0.0011098384857177734,410,7516,318,3
100,420,5,unsat,51.79559135437012,260568,3044120,130285,32,unsat,0.00141143798828125,492,10299,424,4
