  n    m  seed   DPLL time  DPLL dec  DPLL confl   CDCL time  CDCL dec  CDCL confl      DPLL     CDCL
 15   63     1      0.0003         8           3      0.0001        12           2       sat      sat
 15   63     2      0.0012        48          25      0.0001         7           6     unsat    unsat
 15   63     3      0.0004        15           6      0.0000         6           0       sat      sat
 15   63     4      0.0003        10           4      0.0000         7           3       sat      sat
 15   63     5      0.0003         8           2      0.0000         9           2       sat      sat
 20   84     1      0.0007        20           7      0.0000        13           4       sat      sat
 20   84     2      0.0018        58          30      0.0001        20          18     unsat    unsat
 20   84     3      0.0011        31          14      0.0000        13           4       sat      sat
 20   84     4      0.0023        74          38      0.0001        15          13     unsat    unsat
 20   84     5      0.0012        37          17      0.0000        11           4       sat      sat
 25  105     1      0.0017        41          18      0.0001        20          12       sat      sat
 25  105     2      0.0022        46          24      0.0001        30          28     unsat    unsat
 25  105     3      0.0025        48          22      0.0001        26          13       sat      sat
 25  105     4      0.0016        37          17      0.0001        17          11       sat      sat
 25  105     5      0.0043       128          65      0.0001        19          19     unsat    unsat
wrote results.csv
--- n=30, m=126 ---
  seed=1: DPLL=sat time=0.0008s decisions=14 max_depth=9
           CDCL=sat time=0.0001s decisions=13 conflicts=4 restarts=1
  seed=2: DPLL=sat time=0.0015s decisions=25 max_depth=8
           CDCL=sat time=0.0001s decisions=7 conflicts=1 restarts=1
  seed=3: DPLL=sat time=0.0096s decisions=193 max_depth=12
           CDCL=sat time=0.0001s decisions=11 conflicts=5 restarts=1
  seed=4: DPLL=sat time=0.0027s decisions=51 max_depth=12
           CDCL=sat time=0.0001s decisions=11 conflicts=0 restarts=1
  seed=5: DPLL=sat time=0.0007s decisions=9 max_depth=8
           CDCL=sat time=0.0001s decisions=18 conflicts=7 restarts=1
--- n=40, m=168 ---
  seed=1: DPLL=sat time=0.0015s decisions=18 max_depth=14
           CDCL=sat time=0.0001s decisions=28 conflicts=13 restarts=1
  seed=2: DPLL=sat time=0.0103s decisions=164 max_depth=17
           CDCL=sat time=0.0001s decisions=43 conflicts=27 restarts=1
  seed=3: DPLL=unsat time=0.0189s decisions=248 max_depth=12
           CDCL=unsat time=0.0001s decisions=36 conflicts=31 restarts=1
  seed=4: DPLL=sat time=0.0031s decisions=39 max_depth=13
           CDCL=sat time=0.0001s decisions=45 conflicts=30 restarts=1
  seed=5: DPLL=unsat time=0.0179s decisions=236 max_depth=11
           CDCL=unsat time=0.0002s decisions=61 conflicts=50 restarts=1
--- n=50, m=210 ---
  seed=1: DPLL=sat time=0.0106s decisions=126 max_depth=17
           CDCL=sat time=0.0001s decisions=26 conflicts=7 restarts=1
  seed=2: DPLL=sat time=0.0255s decisions=275 max_depth=18
           CDCL=sat time=0.0002s decisions=54 conflicts=37 restarts=1
  seed=3: DPLL=sat time=0.0279s decisions=297 max_depth=19
           CDCL=sat time=0.0001s decisions=28 conflicts=9 restarts=1
  seed=4: DPLL=sat time=0.0478s decisions=528 max_depth=13
           CDCL=sat time=0.0001s decisions=45 conflicts=29 restarts=1
  seed=5: DPLL=unsat time=0.0650s decisions=620 max_depth=15
           CDCL=unsat time=0.0002s decisions=48 conflicts=42 restarts=1
--- n=75, m=315 ---
  seed=1: DPLL=sat time=0.3307s decisions=1951 max_depth=22
           CDCL=sat time=0.0004s decisions=158 conflicts=121 restarts=2
  seed=2: DPLL=unsat time=1.8394s decisions=12570 max_depth=26
           CDCL=unsat time=0.0007s decisions=253 conflicts=219 restarts=3
  seed=3: DPLL=sat time=0.5604s decisions=3536 max_depth=23
           CDCL=sat time=0.0005s decisions=196 conflicts=161 restarts=2
  seed=4: DPLL=sat time=0.2119s decisions=1408 max_depth=28
           CDCL=sat time=0.0002s decisions=38 conflicts=11 restarts=1
  seed=5: DPLL=sat time=1.7418s decisions=11468 max_depth=21
           CDCL=sat time=0.0003s decisions=112 conflicts=81 restarts=1
--- n=100, m=420 ---
  seed=1: DPLL=timeout time=60.0001s decisions=287019 max_depth=34
           CDCL=unsat time=0.0016s decisions=564 conflicts=479 restarts=4
  seed=2: DPLL=sat time=0.8514s decisions=3638 max_depth=29
           CDCL=sat time=0.0004s decisions=97 conflicts=74 restarts=1
  seed=3: DPLL=unsat time=36.2403s decisions=190122 max_depth=38
           CDCL=unsat time=0.0018s decisions=669 conflicts=549 restarts=5
  seed=4: DPLL=sat time=15.8699s decisions=74367 max_depth=34
           CDCL=sat time=0.0011s decisions=410 conflicts=318 restarts=3
  seed=5: DPLL=unsat time=51.5526s decisions=260568 max_depth=32
           CDCL=unsat time=0.0014s decisions=492 conflicts=424 restarts=4
