n=10: chi values = [3, 4, 4, 4, 4, 5, 5, 5], mean=4.25, min=3, max=5
n=15: chi values = [4, 4, 5, 5, 5, 5, 5, 6], mean=4.88, min=4, max=6
n=20: chi values = [5, 5, 6, 6, 6, 6, 6, 6], mean=5.75, min=5, max=6

=== per (n,k) summary ===
  n  k graphs sat  mean_conf max_conf    mean_ms
 10  1      8   0        0.0        0     0.0028
 10  2      8   0        2.0        2     0.0046
 10  3      8   1        6.0        7     0.0108
 10  4      7   4       20.6       67     0.0489
 10  5      3   3        0.0        0     0.0075
 15  1      8   0        0.0        0     0.0017
 15  2      8   0        2.0        2     0.0039
 15  3      8   0        7.5        8     0.0127
 15  4      8   2       31.8       59     0.0735
 15  5      6   5       36.3      169     0.1050
 15  6      1   1        7.0        7     0.0275
 20  1      8   0        0.0        0     0.0018
 20  2      8   0        2.0        2     0.0047
 20  3      8   0        7.4        8     0.0143
 20  4      8   0       35.4       42     0.0740
 20  5      8   2      187.8      322     0.6163
 20  6      6   6       30.3      102     0.1009

=== per (n, k-chi) summary ===
  n delta graphs sat  mean_conf    mean_ms
 10    -4      3   0        0.0     0.0039
 10    -3      7   0        0.9     0.0038
 10    -2      8   0        3.5     0.0066
 10    -1      8   0       21.5     0.0456
 10    +0      8   8        0.2     0.0067
 15    -5      1   0        0.0     0.0017
 15    -4      6   0        0.3     0.0021
 15    -3      8   0        2.2     0.0046
 15    -2      8   0        9.9     0.0196
 15    -1      8   0       49.2     0.1213
 15    +0      8   8        7.8     0.0268
 20    -5      6   0        0.0     0.0018
 20    -4      8   0        1.5     0.0040
 20    -3      8   0        6.1     0.0120
 20    -2      8   0       29.8     0.0622
 20    -1      8   0      193.9     0.6254
 20    +0      8   8       24.0     0.0819
