n,delta,n_graphs,sat_count,mean_conflicts,mean_time_s
10,-4,3,0,0,3.900340137382348e-06
10,-3,7,0,0.8571428571428571,3.820135524230344e-06
10,-2,8,0,3.5,6.608883268199861e-06
10,-1,8,0,21.5,4.5597756979987025e-05
10,0,8,8,0.25,6.6926004365086555e-06
15,-5,1,0,0,1.700012944638729e-06
15,-4,6,0,0.3333333333333333,2.094990729043881e-06
15,-3,8,0,2.25,4.575165803544223e-06
15,-2,8,0,9.875,1.960678491741419e-05
15,-1,8,0,49.25,0.00012125636567361653
15,0,8,8,7.75,2.6771114789880812e-05
20,-5,6,0,0,1.7638279435535271e-06
20,-4,8,0,1.5,3.976107109338045e-06
20,-3,8,0,6.125,1.2014250387437642e-05
20,-2,8,0,29.75,6.219926581252366e-05
20,-1,8,0,193.875,0.0006253862520679832
20,0,8,8,24,8.192013774532825e-05
