n,k,n_graphs,sat_count,mean_conflicts,max_conflicts,mean_time_s,max_time_s
10,1,8,0,0,0,2.765111275948584e-06,8.221017196774483e-06
10,2,8,0,2,2,4.56637644674629e-06,1.1340947821736336e-05
10,3,8,1,6,7,1.0756513802334666e-05,1.7630052752792835e-05
10,4,7,4,20.571428571428573,67,4.8928711164210525e-05,0.0001519049983471632
10,5,3,3,0,0,7.476968069871266e-06,8.080038242042065e-06
15,1,8,0,0,0,1.7038837540894747e-06,1.8599675968289375e-06
15,2,8,0,2,2,3.905166522599757e-06,4.170113243162632e-06
15,3,8,0,7.5,8,1.2721633538603783e-05,1.4930963516235352e-05
15,4,8,2,31.75,59,7.345226185861975e-05,0.00016493501607328653
15,5,6,5,36.333333333333336,169,0.00010502348110700647,0.0004695549141615629
15,6,1,1,7,7,2.7540954761207104e-05,2.7540954761207104e-05
20,1,8,0,0,0,1.776483259163797e-06,1.910957507789135e-06
20,2,8,0,2,2,4.709989298135042e-06,4.859990440309048e-06
20,3,8,0,7.375,8,1.428301038686186e-05,1.675100065767765e-05
20,4,8,0,35.375,42,7.40447430871427e-05,9.284296538680792e-05
20,5,8,2,187.75,322,0.0006163371435832232,0.0011133550433441997
20,6,6,6,30.333333333333332,102,0.00010089001928766568,0.00027966906782239676
