n,p,seed,k,sat,time_s,conflicts,n_vars,n_clauses
10,0.5,1,1,False,8.221017196774483e-06,0,10,38
10,0.5,1,2,False,1.1340947821736336e-05,2,20,76
10,0.5,1,3,False,1.346005592495203e-05,7,30,124
10,0.5,1,4,False,0.00010396400466561317,43,40,182
10,0.5,1,5,True,8.080038242042065e-06,0,50,250
10,0.5,2,1,False,2.300017513334751e-06,0,10,29
10,0.5,2,2,False,4.410045221447945e-06,2,20,58
10,0.5,2,3,False,1.7630052752792835e-05,7,30,97
10,0.5,2,4,True,6.620888598263264e-06,0,40,146
10,0.5,3,1,False,2.500019036233425e-06,0,10,30
10,0.5,3,2,False,3.6499695852398872e-06,2,20,60
10,0.5,3,3,False,1.0260031558573246e-05,7,30,100
10,0.5,3,4,True,5.470006726682186e-06,0,40,150
10,0.5,4,1,False,1.8200371414422989e-06,0,10,31
10,0.5,4,2,False,3.830064088106155e-06,2,20,62
10,0.5,4,3,False,9.341049008071423e-06,6,30,103
10,0.5,4,4,False,5.977205000817776e-05,32,40,154
10,0.5,4,5,True,6.719958037137985e-06,0,50,215
10,0.5,5,1,False,2.1299347281455994e-06,0,10,30
10,0.5,5,2,False,3.369990736246109e-06,2,20,60
10,0.5,5,3,True,4.249974153935909e-06,0,30,100
10,0.5,6,1,False,1.7299316823482513e-06,0,10,28
10,0.5,6,2,False,3.2299431040883064e-06,2,20,56
10,0.5,6,3,False,8.690985850989819e-06,7,30,94
10,0.5,6,4,True,5.189096555113792e-06,0,40,142
10,0.5,7,1,False,1.6599660739302635e-06,0,10,38
10,0.5,7,2,False,3.2800016924738884e-06,2,20,76
10,0.5,7,3,False,1.3230019249022007e-05,7,30,124
10,0.5,7,4,False,0.0001519049983471632,67,40,182
10,0.5,7,5,True,7.63090793043375e-06,0,50,250
10,0.5,8,1,False,1.7599668353796005e-06,0,10,37
10,0.5,8,2,False,3.420049324631691e-06,2,20,74
10,0.5,8,3,False,9.189941920340061e-06,7,30,121
10,0.5,8,4,True,9.579933248460293e-06,2,40,178
15,0.5,1,1,False,1.7099082469940186e-06,0,15,64
15,0.5,1,2,False,3.720051608979702e-06,2,30,128
15,0.5,1,3,False,1.0591000318527222e-05,7,45,207
15,0.5,1,4,False,5.358096677809954e-05,31,60,301
15,0.5,1,5,True,1.3621058315038681e-05,1,75,410
15,0.5,2,1,False,1.7100246623158455e-06,0,15,60
15,0.5,2,2,False,3.7209829315543175e-06,2,30,120
15,0.5,2,3,False,1.3860990293323994e-05,8,45,195
15,0.5,2,4,True,7.690978236496449e-06,0,60,285
15,0.5,3,1,False,1.6010599210858345e-06,0,15,58
15,0.5,3,2,False,4.170113243162632e-06,2,30,116
15,0.5,3,3,False,1.4930963516235352e-05,8,45,189
15,0.5,3,4,True,1.8351012840867043e-05,6,60,277
15,0.5,4,1,False,1.6200356185436249e-06,0,15,73
15,0.5,4,2,False,3.970111720263958e-06,2,30,146
15,0.5,4,3,False,1.2970063835382462e-05,7,45,234
15,0.5,4,4,False,7.39820534363389e-05,39,60,337
15,0.5,4,5,True,6.584194488823414e-05,23,75,455
15,0.5,5,1,False,1.7600832507014275e-06,0,15,67
15,0.5,5,2,False,3.9710430428385735e-06,2,30,134
15,0.5,5,3,False,1.1979951523244381e-05,7,45,216
15,0.5,5,4,False,0.00011986400932073593,48,60,313
15,0.5,5,5,True,9.680981747806072e-06,0,75,425
15,0.5,6,1,False,1.66997779160738e-06,0,15,67
15,0.5,6,2,False,3.729015588760376e-06,2,30,134
15,0.5,6,3,False,1.0600080713629723e-05,7,45,216
15,0.5,6,4,False,0.00016493501607328653,59,60,313
15,0.5,6,5,True,9.709969162940979e-06,0,75,425
15,0.5,7,1,False,1.700012944638729e-06,0,15,73
15,0.5,7,2,False,3.949971869587898e-06,2,30,146
15,0.5,7,3,False,1.38899777084589e-05,8,45,234
15,0.5,7,4,False,8.987204637378454e-05,39,60,337
15,0.5,7,5,False,0.0004695549141615629,169,75,455
15,0.5,7,6,True,2.7540954761207104e-05,7,90,588
15,0.5,8,1,False,1.8599675968289375e-06,0,15,76
15,0.5,8,2,False,4.010042175650597e-06,2,30,152
15,0.5,8,3,False,1.2950040400028229e-05,8,45,243
15,0.5,8,4,False,5.934201180934906e-05,32,60,349
15,0.5,8,5,True,6.173201836645603e-05,25,75,470
20,0.5,1,1,False,1.7700949683785439e-06,0,20,113
20,0.5,1,2,False,4.510045982897282e-06,2,40,226
20,0.5,1,3,False,1.675100065767765e-05,8,60,359
