encoding,problem,N,k,num_int_vars,num_bool_vars,num_assertions,encode_time_s,solve_time_s,result
bool-table,ABC+DEF=GHIJ,,,0,100,914,0.03135969606228173,0.00834408204536885,sat
native-Int,ABC+DEF=GHIJ,,,10,0,15,0.0012372679775580764,0.03409891203045845,sat
bool-table,Coloring-ER-15-0.3-1-k4,15,4,0,60,221,0.00779851502738893,0.0003602110082283616,sat
native-Int,Coloring-ER-15-0.3-1-k4,15,4,15,0,44,0.001435084966942668,0.001775156008079648,sat
bool-table,Coloring-ER-20-0.3-2-k5,20,5,0,100,515,0.017377206007950008,0.0005527079338207841,sat
native-Int,Coloring-ER-20-0.3-2-k5,20,5,20,0,79,0.0020427240524441004,0.004690416972152889,sat
bool-table,Coloring-ER-25-0.3-3-k6,25,6,0,150,868,0.02886209695134312,0.0007882450008764863,sat
native-Int,Coloring-ER-25-0.3-3-k6,25,6,25,0,103,0.0025661609834060073,0.0034306669840589166,sat
bool-table,Coloring-ER-30-0.3-1-k5,30,5,0,150,1020,0.03400104900356382,0.0012793400092050433,unsat
native-Int,Coloring-ER-30-0.3-1-k5,30,5,30,0,168,0.004360656952485442,0.04950591595843434,unsat
bool-table,Coloring-ER-40-0.2-4-k4,40,4,0,160,952,0.0319409939693287,0.001867368002422154,unsat
native-Int,Coloring-ER-40-0.2-4-k4,40,4,40,0,208,0.004367716959677637,0.19426777493208647,unsat
bool-table,Coloring-ER-40-0.2-4-k5,40,5,0,200,1280,0.04276824393309653,0.0010765839833766222,sat
native-Int,Coloring-ER-40-0.2-4-k5,40,5,40,0,208,0.004327515955083072,0.016908130957745016,sat
bool-table,Coloring-ER-50-0.2-5-k6,50,6,0,300,2360,0.07990285009145737,0.0018191479612141848,sat
native-Int,Coloring-ER-50-0.2-5-k6,50,6,50,0,310,0.0059301560977473855,0.03369271999690682,sat
bool-table,Coloring-Grotzsch-k3,11,3,0,33,104,0.0036756759509444237,0.00025052810087800026,unsat
native-Int,Coloring-Grotzsch-k3,11,3,11,0,31,0.0010757340351119637,0.0021688579581677914,unsat
bool-table,Coloring-Grotzsch-k4,11,4,0,44,157,0.005470701958984137,0.00029537896625697613,sat
native-Int,Coloring-Grotzsch-k4,11,4,11,0,31,0.0010870239930227399,0.001629090984351933,sat
bool-table,Coloring-K4-k3,4,3,0,12,34,0.0013637921074405313,0.00019567692652344704,unsat
native-Int,Coloring-K4-k3,4,3,4,0,10,0.0005689280806109309,0.0011560560669749975,unsat
bool-table,Coloring-Petersen-k3,10,3,0,30,85,0.0030461959540843964,0.00023439701180905104,sat
native-Int,Coloring-Petersen-k3,10,3,10,0,25,0.0009887610794976354,0.001338802045211196,sat
bool-table,Coloring-Petersen-k4,10,4,0,40,130,0.004632286028936505,0.00028222904074937105,sat
native-Int,Coloring-Petersen-k4,10,4,10,0,25,0.0013969140127301216,0.0016335619147866964,sat
bool-table,NQueens-10,10,,0,100,1480,0.04835715005174279,0.0012735200580209494,sat
native-Int,NQueens-10,10,,10,0,101,0.0037939989706501365,0.016611021012067795,sat
bool-table,NQueens-11,11,,0,121,1991,0.06433427101001143,0.0017931659240275621,sat
native-Int,NQueens-11,11,,11,0,122,0.004516832064837217,0.058049423969350755,sat
bool-table,NQueens-12,12,,0,144,2608,0.08473307301755995,0.00214649795088917,sat
native-Int,NQueens-12,12,,12,0,145,0.005220764083787799,0.013883156003430486,sat
bool-table,NQueens-13,13,,0,169,3341,0.11072099907323718,0.0024599380558356643,sat
native-Int,NQueens-13,13,,13,0,170,0.014021390932612121,0.010878861998207867,sat
bool-table,NQueens-14,14,,0,196,4200,0.13691797305364162,0.002759997034445405,sat
native-Int,NQueens-14,14,,14,0,197,0.007222645916044712,0.14279877801891416,sat
bool-table,NQueens-15,15,,0,225,5195,0.2052990220254287,0.0033753470052033663,sat
native-Int,NQueens-15,15,,15,0,226,0.008367593050934374,0.11086603498551995,sat
bool-table,NQueens-16,16,,0,256,6336,0.2075744440080598,0.003993025049567223,sat
native-Int,NQueens-16,16,,16,0,257,0.00935256399679929,0.03855728101916611,sat
bool-table,NQueens-4,4,,0,16,80,0.0032383210491389036,0.00034516199957579374,sat
native-Int,NQueens-4,4,,4,0,17,0.009737834916450083,0.00253285001963377,sat
bool-table,NQueens-5,5,,0,25,165,0.005785651970654726,0.0002859790110960603,sat
native-Int,NQueens-5,5,,5,0,26,0.0012578489258885384,0.001745444955304265,sat
bool-table,NQueens-6,6,,0,36,296,0.01016726007219404,0.0004120530793443322,sat
native-Int,NQueens-6,6,,6,0,37,0.001633340958505869,0.002035723999142647,sat
bool-table,NQueens-7,7,,0,49,483,0.016046565026044846,0.0004931349540129304,sat
native-Int,NQueens-7,7,,7,0,50,0.0020914559718221426,0.0022803719621151686,sat
bool-table,NQueens-8,8,,0,64,736,0.024636254063807428,0.0006979720201343298,sat
native-Int,NQueens-8,8,,8,0,65,0.002553531085141003,0.002505877986550331,sat
bool-table,NQueens-9,9,,0,81,1065,0.03573781403247267,0.0009450389770790935,sat
native-Int,NQueens-9,9,,9,0,82,0.011244172928854823,0.007210036972537637,sat
