encoding,problem,N,k,num_int_vars,num_bool_vars,num_assertions,encode_time_s,solve_time_s,result
native-Int,NQueens-9,9,,9,0,82,0.011244172928854823,0.007210036972537637,sat
bool-table,NQueens-9,9,,0,81,1065,0.03573781403247267,0.0009450389770790935,sat
native-Int,NQueens-10,10,,10,0,101,0.0037939989706501365,0.016611021012067795,sat
bool-table,NQueens-10,10,,0,100,1480,0.04835715005174279,0.0012735200580209494,sat
native-Int,NQueens-11,11,,11,0,122,0.004516832064837217,0.058049423969350755,sat
bool-table,NQueens-11,11,,0,121,1991,0.06433427101001143,0.0017931659240275621,sat
native-Int,NQueens-12,12,,12,0,145,0.005220764083787799,0.013883156003430486,sat
bool-table,NQueens-12,12,,0,144,2608,0.08473307301755995,0.00214649795088917,sat
native-Int,Coloring-Petersen-k4,10,4,10,0,25,0.0013969140127301216,0.0016335619147866964,sat
bool-table,Coloring-Petersen-k4,10,4,0,40,130,0.004632286028936505,0.00028222904074937105,sat
native-Int,Coloring-ER-15-0.3-1-k4,15,4,15,0,44,0.001435084966942668,0.001775156008079648,sat
bool-table,Coloring-ER-15-0.3-1-k4,15,4,0,60,221,0.00779851502738893,0.0003602110082283616,sat
native-Int,Coloring-ER-20-0.3-2-k5,20,5,20,0,79,0.0020427240524441004,0.004690416972152889,sat
bool-table,Coloring-ER-20-0.3-2-k5,20,5,0,100,515,0.017377206007950008,0.0005527079338207841,sat
native-Int,Coloring-ER-25-0.3-3-k6,25,6,25,0,103,0.0025661609834060073,0.0034306669840589166,sat
bool-table,Coloring-ER-25-0.3-3-k6,25,6,0,150,868,0.02886209695134312,0.0007882450008764863,sat
