encoding,problem,N,k,num_int_vars,num_bool_vars,num_assertions,encode_time_s,solve_time_s,result
native-Int,NQueens-13,13,,13,0,170,0.014021390932612121,0.010878861998207867,sat
bool-table,NQueens-13,13,,0,169,3341,0.11072099907323718,0.0024599380558356643,sat
native-Int,NQueens-14,14,,14,0,197,0.007222645916044712,0.14279877801891416,sat
bool-table,NQueens-14,14,,0,196,4200,0.13691797305364162,0.002759997034445405,sat
native-Int,NQueens-15,15,,15,0,226,0.008367593050934374,0.11086603498551995,sat
bool-table,NQueens-15,15,,0,225,5195,0.2052990220254287,0.0033753470052033663,sat
native-Int,NQueens-16,16,,16,0,257,0.00935256399679929,0.03855728101916611,sat
bool-table,NQueens-16,16,,0,256,6336,0.2075744440080598,0.003993025049567223,sat
native-Int,Coloring-ER-30-0.3-1-k5,30,5,30,0,168,0.004360656952485442,0.04950591595843434,unsat
bool-table,Coloring-ER-30-0.3-1-k5,30,5,0,150,1020,0.03400104900356382,0.0012793400092050433,unsat
native-Int,Coloring-ER-40-0.2-4-k5,40,5,40,0,208,0.004327515955083072,0.016908130957745016,sat
bool-table,Coloring-ER-40-0.2-4-k5,40,5,0,200,1280,0.04276824393309653,0.0010765839833766222,sat
native-Int,Coloring-ER-40-0.2-4-k4,40,4,40,0,208,0.004367716959677637,0.19426777493208647,unsat
bool-table,Coloring-ER-40-0.2-4-k4,40,4,0,160,952,0.0319409939693287,0.001867368002422154,unsat
native-Int,Coloring-ER-50-0.2-5-k6,50,6,50,0,310,0.0059301560977473855,0.03369271999690682,sat
bool-table,Coloring-ER-50-0.2-5-k6,50,6,0,300,2360,0.07990285009145737,0.0018191479612141848,sat
