encoding,problem,N,k,num_int_vars,num_bool_vars,num_assertions,encode_time_s,solve_time_s,result
native-Int,NQueens-4,4,,4,0,17,0.009737834916450083,0.00253285001963377,sat
bool-table,NQueens-4,4,,0,16,80,0.0032383210491389036,0.00034516199957579374,sat
native-Int,NQueens-5,5,,5,0,26,0.0012578489258885384,0.001745444955304265,sat
bool-table,NQueens-5,5,,0,25,165,0.005785651970654726,0.0002859790110960603,sat
native-Int,NQueens-6,6,,6,0,37,0.001633340958505869,0.002035723999142647,sat
bool-table,NQueens-6,6,,0,36,296,0.01016726007219404,0.0004120530793443322,sat
native-Int,NQueens-7,7,,7,0,50,0.0020914559718221426,0.0022803719621151686,sat
bool-table,NQueens-7,7,,0,49,483,0.016046565026044846,0.0004931349540129304,sat
native-Int,NQueens-8,8,,8,0,65,0.002553531085141003,0.002505877986550331,sat
bool-table,NQueens-8,8,,0,64,736,0.024636254063807428,0.0006979720201343298,sat
native-Int,Coloring-K4-k3,4,3,4,0,10,0.0005689280806109309,0.0011560560669749975,unsat
bool-table,Coloring-K4-k3,4,3,0,12,34,0.0013637921074405313,0.00019567692652344704,unsat
native-Int,Coloring-Petersen-k3,10,3,10,0,25,0.0009887610794976354,0.001338802045211196,sat
bool-table,Coloring-Petersen-k3,10,3,0,30,85,0.0030461959540843964,0.00023439701180905104,sat
native-Int,Coloring-Grotzsch-k3,11,3,11,0,31,0.0010757340351119637,0.0021688579581677914,unsat
bool-table,Coloring-Grotzsch-k3,11,3,0,33,104,0.0036756759509444237,0.00025052810087800026,unsat
native-Int,Coloring-Grotzsch-k4,11,4,11,0,31,0.0010870239930227399,0.001629090984351933,sat
bool-table,Coloring-Grotzsch-k4,11,4,0,44,157,0.005470701958984137,0.00029537896625697613,sat
native-Int,ABC+DEF=GHIJ,,,10,0,15,0.0012372679775580764,0.03409891203045845,sat
bool-table,ABC+DEF=GHIJ,,,0,100,914,0.03135969606228173,0.00834408204536885,sat
